-rw-r--r-- 1 root root 68818 Jun 8 16:29 var/log/dpkg.log

2016-06-08 16:28:35 status half-installed e2fslibs:amd64 1.42.12-1.1
2016-06-08 16:28:35 status unpacked e2fslibs:amd64 1.42.12-1.1
2016-06-08 16:28:35 status unpacked e2fslibs:amd64 1.42.12-1.1
2016-06-08 16:28:35 install e2fsprogs:amd64 <none> 1.42.12-1.1
2016-06-08 16:28:35 status half-installed e2fsprogs:amd64 1.42.12-1.1
2016-06-08 16:28:36 status unpacked e2fsprogs:amd64 1.42.12-1.1
2016-06-08 16:28:36 status unpacked e2fsprogs:amd64 1.42.12-1.1
2016-06-08 16:28:36 install libcomerr2:amd64 <none> 1.42.12-1.1
2016-06-08 16:28:36 status half-installed libcomerr2:amd64 1.42.12-1.1
2016-06-08 16:28:36 status unpacked libcomerr2:amd64 1.42.12-1.1
2016-06-08 16:28:36 status unpacked libcomerr2:amd64 1.42.12-1.1
2016-06-08 16:28:36 install libss2:amd64 <none> 1.42.12-1.1
2016-06-08 16:28:36 status half-installed libss2:amd64 1.42.12-1.1
2016-06-08 16:28:36 status unpacked libss2:amd64 1.42.12-1.1
2016-06-08 16:28:36 status unpacked libss2:amd64 1.42.12-1.1
2016-06-08 16:28:36 install findutils:amd64 <none> 4.4.2-9+b1
2016-06-08 16:28:36 status half-installed findutils:amd64 4.4.2-9+b1
2016-06-08 16:28:36 status unpacked findutils:amd64 4.4.2-9+b1
2016-06-08 16:28:37 status unpacked findutils:amd64 4.4.2-9+b1
2016-06-08 16:28:37 install gcc-4.8-base:amd64 <none> 4.8.4-1
2016-06-08 16:28:37 status half-installed gcc-4.8-base:amd64 4.8.4-1
2016-06-08 16:28:37 status unpacked gcc-4.8-base:amd64 4.8.4-1
2016-06-08 16:28:37 status unpacked gcc-4.8-base:amd64 4.8.4-1
2016-06-08 16:28:37 install gcc-4.9-base:amd64 <none> 4.9.2-10
2016-06-08 16:28:37 status half-installed gcc-4.9-base:amd64 4.9.2-10
2016-06-08 16:28:37 status unpacked gcc-4.9-base:amd64 4.9.2-10
